scope,product,category,signal_family,model_type,horizon,passive_proxy_pnl,taker_proxy_pnl,signal_corr,positive_days,day_count,positive_blocks,block_count,bidirectional
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_low_reversal,breakout,25,-148851.5,-169594.9,0.0047707749415476,1,3,12,30,0
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,momentum,statistical/time-series,50,106446.75,77827.85,-0.0016083473659028,2,3,12,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,reversal,statistical/time-series,50,-146103.25,-189512.15,0.0016083473659028,1,3,18,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,50,108997.25,-57062.69999999995,0.0018650482619527,2,3,13,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,50,-147832.75,-51452.69999999995,-0.0018650482619527,1,3,17,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,50,-121551.0,-176363.30000000005,0.0034677610871657,1,3,16,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_high,breakout,50,-296442.25,-144862.75,-0.0029882592227505,1,3,8,30,0
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_low_reversal,breakout,50,-275821.75,-259605.45,0.0059342486498403,1,3,14,30,0
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,momentum,statistical/time-series,100,417214.0,266745.1,0.0204781442849112,3,3,16,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,reversal,statistical/time-series,100,-456306.0,-377284.90000000014,-0.0204781442849112,0,3,14,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,100,295382.75,254770.45000000004,0.0187861052374624,1,3,14,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,100,-333797.25,-362019.55,-0.0187861052374624,2,3,16,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,100,-386307.5,-381584.55,-0.0164085506457407,1,3,16,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_high,breakout,100,-1190602.5,-820324.6000000001,-0.0216543783683403,1,3,7,30,0
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_low_reversal,breakout,100,-1418343.25,-1261916.2,-0.0586141587724681,0,3,13,30,0
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,momentum,statistical/time-series,200,1208744.0,865381.4000000001,0.0228836680894936,3,3,12,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,reversal,statistical/time-series,200,-1246906.0,-973178.6,-0.0228836680894936,0,3,18,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,200,1005716.75,573489.6499999999,0.0160394702437654,2,3,12,30,1
