scope,product,category,signal_family,model_type,horizon,passive_proxy_pnl,taker_proxy_pnl,signal_corr,positive_days,day_count,positive_blocks,block_count,bidirectional
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,momentum,statistical/time-series,200,-1555705.5,-1207338.2000000002,-0.09804390801097077,0,3,9,29,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,reversal,statistical/time-series,200,1521704.5,1112031.7999999996,0.09804390801097077,3,3,20,29,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,200,-1767703.0,-1297327.55,-0.1028232525314724,0,3,8,29,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,200,1733817.0,1202552.45,0.1028232525314724,3,3,21,29,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,200,1515020.25,1094938.15,0.10105366143731899,3,3,21,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_high,breakout,200,-1623765.5,-1222174.1499999997,-0.09415126509343408,1,3,9,29,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_low_reversal,breakout,200,418509.25,271782.3499999997,0.07918360407280257,2,3,20,29,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,momentum,statistical/time-series,500,-911764.25,-830655.5500000005,-0.1279290647695003,1,3,7,26,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,reversal,statistical/time-series,500,879755.75,741004.4499999995,0.1279290647695003,2,3,19,26,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,500,-574000.25,-734692.0500000005,-0.12631076903659103,1,3,8,27,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,500,542209.75,645397.9499999996,0.12631076903659103,2,3,19,27,1
