product,category,test_day,model,r2,pred_actual_corr,direction_accuracy
MICROCHIP_TRIANGLE,MICROCHIP,2,rf_depth4_lodo,-0.011984521378188395,-0.02905886481543606,0.4854785478547855
MICROCHIP_TRIANGLE,MICROCHIP,3,ridge_lodo,-0.004694212033810263,-0.03291778483697769,0.4984812689841377
MICROCHIP_TRIANGLE,MICROCHIP,3,rf_depth4_lodo,-0.006216965219812298,-0.044010711852527036,0.49713128585892674
MICROCHIP_TRIANGLE,MICROCHIP,4,ridge_lodo,-0.016792066465925792,0.0061113237240621315,0.49916860658463585
MICROCHIP_TRIANGLE,MICROCHIP,4,rf_depth4_lodo,-0.007468186001125865,-0.009857387204192384,0.4978383771200532
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,2,ridge_lodo,-0.0009363462715870075,0.03640601437400605,0.43333333333333335
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,2,rf_depth4_lodo,-0.00951276756604802,-0.029617170994165425,0.44356435643564357
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,3,ridge_lodo,-0.0035083801670579007,0.02736688864517937,0.49915626054674317
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,3,rf_depth4_lodo,-0.01152205476857704,-0.02929555053474089,0.48430644616942287
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,4,ridge_lodo,0.004089803973137851,0.07547233283903665,0.4855337545726638
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,4,rf_depth4_lodo,-0.0028523685088910344,0.012066767508502264,0.4812105088127702
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,2,ridge_lodo,0.0029356608471959866,0.08961864470897576,0.42799732083054254
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,2,rf_depth4_lodo,-0.006820666719025148,0.02033399447012144,0.40522438044206294
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,3,ridge_lodo,-0.007893447685062727,0.03770232729357468,0.4449712157128344
